Transaction_Date,Price,Transaction_Type,Property_Type,Area_sqft,Location,Floor,Age_of_Property,Number_of_Rooms,Number_of_Bathrooms,Amenities,Orientation,Condition,Inflation_Rate,Interest_Rate,Exchange_Rate,Economic_Condition,Crime_Rate,Region_Average_Price,Days_on_Market
2019-01-01 00:00:00.000000000,9889249.0,Sale,Apartment,5940.0,Downtown Dubai,13.0,21.0,6.0,2.0,Pool,East,Renovated,,4.22,3.71,Stable,7.38,1897817.0,102.0
2019-01-01 04:22:49.576957695,10738782.0,Rent,Villa,11524.0,Dubai Marina,1.0,34.0,6.0,3.0,"Garden, Gym, Elevator, Parking",nan,New,4.19,2.59,3.95,Growth,8.2,5718983.0,242.0
2019-01-01 08:45:39.153915391,1415852.0,Rent,Land,9083.0,Jumeirah,24.0,36.0,,1.0,"Parking, Elevator, Pool, Garden, Gym",East,New,1.54,5.51,3.65,Recession,6.86,,350.0
2019-01-01 13:08:28.730873087,8080210.0,Sale,Villa,9973.0,Dubai Marina,14.0,12.0,6.0,1.0,"Gym, Parking, Pool",East,Needs Renovation,,3.63,3.81,Recession,2.26,,345.0
2019-01-01 17:31:18.307830783,8061054.0,,Penthouse,2564.0,Palm Jumeirah,5.0,24.0,6.0,2.0,Pool,South,Needs Renovation,2.48,5.97,3.64,,4.32,10692651.0,205.0
2019-01-01 21:54:07.884788478,9198534.0,Sale,Apartment,8201.0,Downtown Dubai,16.0,10.0,7.0,,"Gym, Parking, Elevator",North,Needs Renovation,1.46,3.27,3.77,Stable,2.78,11122722.0,227.0
2019-01-02 02:16:57.461746174,14661650.0,Rent,Apartment,14233.0,Downtown Dubai,44.0,13.0,1.0,1.0,"Elevator, Gym, Garden, Parking, Pool",South,Under Construction,3.5,3.81,3.88,,,11449565.0,97.0
2019-01-02 06:39:47.038703870,6025896.0,nan,Townhouse,5535.0,Downtown Dubai,14.0,36.0,,2.0,"Gym, Garden, Parking",South,Needs Renovation,4.24,3.44,3.82,Stable,,10262940.0,76.0
2019-01-02 11:02:36.615661566,6794474.0,Rent,Penthouse,10992.0,Jumeirah,15.0,47.0,,,"Garden, Parking, Pool, Gym",nan,New,2.62,5.8,3.93,Recession,1.63,1138822.0,179.0
2019-01-02 15:25:26.192619261,6510396.0,Rent,Land,6387.0,Jumeirah,21.0,34.0,1.0,5.0,"Garden, Parking, Elevator",West,Under Construction,,3.52,3.77,,3.89,1701276.0,191.0
2019-01-02 19:48:15.769576957,13537999.0,Sale,Land,11507.0,Jumeirah,39.0,0.0,,2.0,Gym,North,Needs Renovation,1.7,,3.79,Recession,1.7,547191.0,333.0
2019-01-03 00:11:05.346534653,11522689.0,Sale,Villa,10751.0,Palm Jumeirah,35.0,18.0,6.0,3.0,"Parking, Gym, Garden, Pool",nan,New,2.56,,3.71,Growth,1.8,9475440.0,110.0
2019-01-03 04:33:54.923492349,10274893.0,Rent,Penthouse,13825.0,Downtown Dubai,49.0,29.0,3.0,5.0,"Garden, Parking, Pool, Gym",East,New,1.72,4.29,3.8,Stable,8.58,,97.0
2019-01-03 08:56:44.500450045,8386537.0,Rent,Villa,5819.0,Downtown Dubai,18.0,25.0,8.0,5.0,Pool,nan,Renovated,4.29,4.86,3.75,Growth,,2565150.0,168.0
