Transaction_Date,Price,Transaction_Type,Property_Type,Area_sqft,Location,Floor,Age_of_Property,Number_of_Rooms,Number_of_Bathrooms,Amenities,Orientation,Condition,Inflation_Rate,Interest_Rate,Exchange_Rate,Economic_Condition,Crime_Rate,Region_Average_Price,Days_on_Market,Price_Per_Sqft,Market_Age_Ratio,Amenities_Score,Price_Volatility,Absorption_Rate,Region_Risk,Inflation_Adjusted_Price,Risk_Score,Risk_Cluster_Label
2019-01-01 00:00:00.000000000,9889249.0,Sale,Apartment,5940.0,Downtown Dubai,13.0,21.0,6.0,2.0,Pool,East,Renovated,2.98,4.22,3.71,Stable,7.38,1897817.0,102.0,0.058758981241094285,0.004160887656033287,0.0,0,0.7197802197802198,0.4867924024731462,0.6354984830140491,0.6396736469090981,Medium Risk
2019-01-01 04:22:49.576957695,10738782.0,Rent,Villa,11524.0,Dubai Marina,1.0,34.0,6.0,3.0,"Garden, Gym, Elevator, Parking",Unknown,New,4.19,2.59,3.95,Growth,8.2,5718983.0,242.0,0.03232888187499983,0.0028554631729234906,0.75,0,0.33516483516483514,0.5873446214633214,0.7014924227506415,0.7042599246526051,High Risk
2019-01-01 08:45:39.153915391,1415852.0,Rent,Land,9083.0,Jumeirah,24.0,36.0,5.0,1.0,"Parking, Elevator, Pool, Garden, Gym",East,New,1.54,5.51,3.65,Recession,6.86,7665398.0,350.0,0.004343393719563948,0.0020931449502878076,1.0,0,0.038461538461538464,0.06478375125053669,0.06104685581156249,0.6051678816910613,Medium Risk
2019-01-01 13:08:28.730873087,8080210.0,Sale,Villa,9973.0,Dubai Marina,14.0,12.0,6.0,1.0,"Gym, Parking, Pool",East,Needs Renovation,2.98,3.63,3.81,Recession,2.26,7665398.0,345.0,0.027941116767952762,0.00070779756989501,0.5,0,0.0521978021978022,0.12180222020744551,0.5131410706437892,0.3787374799988707,Medium Risk
2019-01-01 17:31:18.307830783,8061054.0,Unknown,Penthouse,2564.0,Palm Jumeirah,5.0,24.0,6.0,2.0,Pool,South,Needs Renovation,2.48,5.97,3.64,Unknown,4.32,10692651.0,205.0,0.11207163409750734,0.0023776500891618782,0.0,0,0.4368131868131868,0.2322735164094358,0.5091981944672332,0.5546148194683146,Medium Risk
2019-01-01 21:54:07.884788478,9198534.0,Sale,Apartment,8201.0,Downtown Dubai,16.0,10.0,7.0,3.0,"Gym, Parking, Elevator",North,Needs Renovation,1.46,3.27,3.77,Stable,2.78,11122722.0,227.0,0.039171517848646406,0.000895094880057286,0.5,0,0.37637362637362637,0.17056406246216874,0.5795976559100434,0.2558662419464644,Low Risk
2019-01-02 02:16:57.461746174,14661650.0,Rent,Apartment,14233.0,Downtown Dubai,44.0,13.0,1.0,1.0,"Elevator, Gym, Garden, Parking, Pool",South,Under Construction,3.5,3.81,3.88,Unknown,5.06,11449565.0,97.0,0.03587297549821591,0.002707205331112037,1.0,0,0.7335164835164835,0.4948316642057799,0.9632953350457726,0.5149710551578612,Medium Risk
2019-01-02 06:39:47.038703870,6025896.0,Unknown,Townhouse,5535.0,Downtown Dubai,14.0,36.0,5.0,2.0,"Gym, Garden, Parking",South,Needs Renovation,4.24,3.44,3.82,Stable,5.06,10262940.0,76.0,0.03798106858837623,0.00954147892923403,0.5,0,0.7912087912087912,0.20337439142326763,0.3791808652932836,0.5405106370520274,Medium Risk
2019-01-02 11:02:36.615661566,6794474.0,Rent,Penthouse,10992.0,Jumeirah,15.0,47.0,5.0,3.0,"Garden, Parking, Pool, Gym",Unknown,New,2.62,5.8,3.93,Recession,1.63,1138822.0,179.0,0.02101418474764276,0.005328798185941043,0.75,0,0.5082417582417582,0.07386990883413329,0.4245716155492908,0.38800230278578,Medium Risk
2019-01-02 15:25:26.192619261,6510396.0,Rent,Land,6387.0,Jumeirah,21.0,34.0,1.0,5.0,"Garden, Parking, Elevator",West,Under Construction,2.98,3.52,3.77,Unknown,3.89,1701276.0,191.0,0.0354804180413346,0.0036139455782312926,0.5,0,0.47527472527472525,0.1689200201459884,0.4069640457468095,0.4228782759053628,Medium Risk
2019-01-02 19:48:15.769576957,13537999.0,Sale,Land,11507.0,Jumeirah,39.0,0.0,5.0,2.0,Gym,North,Needs Renovation,1.7,3.99,3.79,Recession,1.7,547191.0,333.0,0.04115162615913503,0.0,0.0,0,0.08516483516483517,0.15350676398691807,0.8709065068098389,0.28712934685230834,Low Risk
2019-01-03 00:11:05.346534653,11522689.0,Sale,Villa,10751.0,Palm Jumeirah,35.0,18.0,6.0,3.0,"Parking, Gym, Garden, Pool",Unknown,New,2.56,3.99,3.71,Growth,1.8,9475440.0,110.0,0.03737462529749193,0.0033094318808604526,0.75,0,0.6978021978021978,0.13834085739709748,0.7428003840486417,0.2851501744592689,Low Risk
2019-01-03 04:33:54.923492349,10274893.0,Rent,Penthouse,13825.0,Downtown Dubai,49.0,29.0,3.0,5.0,"Garden, Parking, Pool, Gym",East,New,1.72,4.29,3.8,Stable,8.58,7665398.0,97.0,0.025525674128229953,0.006039150354019159,0.75,0,0.7335164835164835,0.588015417644068,0.6530790665385882,0.6065453380788174,Medium Risk
2019-01-03 08:56:44.500450045,8386537.0,Rent,Villa,5819.0,Downtown Dubai,18.0,25.0,8.0,5.0,Pool,Unknown,Renovated,4.29,4.86,3.75,Growth,5.06,2565150.0,168.0,0.050694616411303454,0.003018959062915107,0.0,0,0.5384615384615384,0.2830461824305824,0.5410757978034482,0.6515109915965224,Medium Risk
2019-01-03 13:19:34.077407740,8457006.0,Rent,Land,13839.0,Business Bay,49.0,16.0,4.0,3.0,"Elevator, Garden",North,Under Construction,4.51,2.04,3.74,Stable,9.74,7665398.0,220.0,0.02076108355192556,0.0014775140825560994,0.25,0,0.3956043956043956,0.5494139890557739,0.5471247125715227,0.779531891824731,High Risk
2019-01-03 17:42:23.654365436,4639322.0,Sale,Townhouse,11091.0,Business Bay,43.0,29.0,8.0,5.0,"Parking, Pool, Elevator",West,New,1.15,3.76,3.93,Growth,2.3,12572488.0,244.0,0.013807374825589785,0.0024156601416076636,0.5,0,0.32967032967032966,0.0711715575248875,0.27483463320656504,0.23462629831827117,Low Risk
2019-01-03 22:05:13.231323132,10878190.0,Rent,Land,6295.0,Downtown Dubai,3.0,20.0,5.0,4.0,"Parking, Elevator, Pool, Gym, Garden",North,Renovated,2.93,3.99,3.52,Stable,2.52,4459340.0,102.0,0.06103907387929201,0.003962750148603131,1.0,0,0.7197802197802198,0.1828442461772547,0.702029943398012,0.34425421329629674,Medium Risk
2019-01-04 02:28:02.808280828,14770871.0,Rent,Penthouse,2149.0,Dubai Marina,24.0,27.0,6.0,3.0,"Garden, Parking, Elevator",North,New,1.06,3.86,3.59,Stable,9.42,7665398.0,189.0,0.24651193268249616,0.002900107411385607,0.5,0,0.4807692307692308,0.9280708363206477,0.947048505432658,0.6278102204820658,Medium Risk
2019-01-04 06:50:52.385238523,8630015.0,Rent,Penthouse,10156.0,Palm Jumeirah,26.0,15.0,3.0,3.0,Parking,West,New,4.93,3.7,3.71,Growth,4.65,7665398.0,158.0,0.02936702745095548,0.0019252984212552947,0.0,0,0.5659340659340659,0.26766317240087634,0.5613809461184912,0.6106808679644152,Medium Risk
2019-01-04 11:13:41.962196219,942442.0,Unknown,Villa,9229.0,Palm Jumeirah,39.0,14.0,9.0,1.0,Elevator,West,Renovated,3.16,5.5,3.94,Growth,8.64,8160489.0,359.0,0.0024045558195261436,0.0007936507936507937,0.0,0,0.013736263736263736,0.054311586884777475,0.03047747826473094,0.828207558683372,High Risk
2019-01-04 15:36:31.539153915,12290648.0,Unknown,Penthouse,6710.0,Palm Jumeirah,7.0,47.0,7.0,2.0,"Garden, Pool, Parking, Elevator, Gym",North,New,4.33,2.53,3.8,Growth,0.94,804243.0,10.0,0.0647765503531525,0.08719851576994433,1.0,0,0.9725274725274725,0.07705960028315371,0.8088189453273437,0.2565086825567039,Low Risk
2019-01-04 19:59:21.116111611,4907976.0,Sale,Townhouse,10460.0,Jumeirah,21.0,49.0,1.0,4.0,"Parking, Elevator",East,New,3.69,4.29,3.68,Stable,3.8,7662429.0,43.0,0.01564359145042866,0.022727272727272724,0.25,0,0.8818681318681318,0.1243970680663473,0.300870366146249,0.4739087905369282,Medium Risk
2019-01-05 00:22:10.693069306,1660898.0,Rent,Penthouse,12426.0,Downtown Dubai,23.0,36.0,4.0,3.0,Gym,North,Needs Renovation,1.84,4.43,3.54,Stable,5.27,12661125.0,301.0,0.003542341069197126,0.0024327611839437763,0.0,0,0.17307692307692307,0.05838182877737448,0.07771645645167165,0.49273494518416017,Medium Risk
2019-01-05 04:45:00.270027002,6463128.0,Sale,Land,1118.0,Palm Jumeirah,17.0,8.0,5.0,3.0,"Garden, Gym, Parking, Pool, Elevator",East,Needs Renovation,4.18,3.98,3.89,Growth,0.11,7285338.0,341.0,0.20704087752794167,0.00047738393603055255,1.0,0,0.06318681318681318,0.004741978272827668,0.4088609304547027,0.3609042154591995,Medium Risk
